student_id,admission_date,door_no
2500036,2025-03-25,2/112
2500037,0000-00-00,52/22
2500038,0000-00-00,"2/137 A"
2500039,0000-00-00,"027 674/3/36"
2500041,0000-00-00,3/409
2500042,0000-00-00,6/11148Aa
2500043,0000-00-00,6/109/B
2500046,0000-00-00,L4/63
2500047,0000-00-00,7/2A
2500048,0000-00-00,
2500050,0000-00-00,7/136
2500051,0000-00-00,25
2500052,0000-00-00,862
2500053,0000-00-00,C14A
2500054,0000-00-00,104
2500055,0000-00-00,36/99A6
2500056,0000-00-00,Apr-89
2500057,0000-00-00,189/3
2500058,0000-00-00,
2500059,0000-00-00,45A
2500060,0000-00-00,6/67-2
2500061,0000-00-00,"108 A "
2500062,0000-00-00,"24 B1"
2500063,0000-00-00,May-35
2500064,0000-00-00,55
2500065,0000-00-00,"2/2 1"
2500066,0000-00-00,3/163
2500067,0000-00-00,2
2500121,0000-00-00,57
2500122,0000-00-00,164
2500124,0000-00-00,96Q/2/1/1
2500125,0000-00-00,"44F3 A"
2500129,0000-00-00,1/212
2500130,0000-00-00,53
2500131,0000-00-00,5/269
2500133,0000-00-00,171/A
2500134,0000-00-00,112/14
2500136,0000-00-00,Mar-55
2500138,0000-00-00,4/272
2500139,0000-00-00,529/4
2500140,0000-00-00,4/212
2500141,0000-00-00,"No 18"
2500142,0000-00-00,
2500143,0000-00-00,09-Jan
2500152,0000-00-00,
2500173,0000-00-00,23
2500175,0000-00-00,
2500176,0000-00-00,1/192
2500177,0000-00-00,1/170
2500180,0000-00-00,Jun-62
2500207,0000-00-00,45/1A
2500208,0000-00-00,30/34
2500210,0000-00-00,3/129
2500211,0000-00-00,Mar-26
2500212,0000-00-00,Jun-49
2500213,0000-00-00,"2/532 6"
2500214,0000-00-00,May-73
2500216,0000-00-00,7/223
2500218,0000-00-00,"39/4 "
2500220,0000-00-00,Jan-33
2500221,0000-00-00,2/131A
2500222,0000-00-00,291
2500223,0000-00-00,"No 4A"
2500224,0000-00-00,"345 B"
2500225,0000-00-00,May-69
2500227,0000-00-00,70
2500228,0000-00-00,Mar-39
2500230,0000-00-00,
2500232,0000-00-00,
2500259,0000-00-00,Feb-86
2500260,0000-00-00,448
2500261,0000-00-00,
2500262,0000-00-00,
2500263,0000-00-00,6/280
2500264,0000-00-00,8/1191
2500265,0000-00-00,914/1A
2500266,0000-00-00,"8/1191 "
2500267,0000-00-00,6/119
