id,stuid,FLOOR,ROOM_NO,COT_NO,HOSTEL NAME
1,2504235,FIRST,201,C-1,BOYS HOSTEL BLOCK - 1
2,2505162,FIRST,201,C-2,BOYS HOSTEL BLOCK - 1
3,2505375,FIRST,201,C-3,BOYS HOSTEL BLOCK - 1
4,2505132,FIRST,201,C-4,BOYS HOSTEL BLOCK - 1
5,2505205,FIRST,201,C-5,BOYS HOSTEL BLOCK - 1
6,2505223,FIRST,201,C-6,BOYS HOSTEL BLOCK - 1
7,2503916,FIRST,201,C-7,BOYS HOSTEL BLOCK - 1
8,2503246,FIRST,201,C-8,BOYS HOSTEL BLOCK - 1
9,2505279,FIRST,201A,C-1,BOYS HOSTEL BLOCK - 1
10,2503395,FIRST,201A,C-2,BOYS HOSTEL BLOCK - 1
11,2504547,FIRST,201A,C-3,BOYS HOSTEL BLOCK - 1
12,2505200,FIRST,201A,C-4,BOYS HOSTEL BLOCK - 1
13,2502172,FIRST,201A,C-5,BOYS HOSTEL BLOCK - 1
14,2501123,FIRST,201A,C-6,BOYS HOSTEL BLOCK - 1
15,2505485,FIRST,201A,C-7,BOYS HOSTEL BLOCK - 1
16,2503329,FIRST,201A,C-8,BOYS HOSTEL BLOCK - 1
17,2505141,FIRST,202,C-1,BOYS HOSTEL BLOCK - 1
18,2504075,FIRST,202,C-2,BOYS HOSTEL BLOCK - 1
19,2505190,FIRST,202,C-3,BOYS HOSTEL BLOCK - 1
20,2503695,FIRST,202,C-4,BOYS HOSTEL BLOCK - 1
21,2504878,FIRST,202,C-5,BOYS HOSTEL BLOCK - 1
22,2504786,FIRST,202,C-6,BOYS HOSTEL BLOCK - 1
23,2505109,FIRST,202,C-7,BOYS HOSTEL BLOCK - 1
24,2503897,FIRST,202,C-8,BOYS HOSTEL BLOCK - 1
25,2503941,FIRST,204,C-1,BOYS HOSTEL BLOCK - 1
26,2505134,FIRST,204,C-2,BOYS HOSTEL BLOCK - 1
27,2504161,FIRST,204,C-3,BOYS HOSTEL BLOCK - 1
28,2504486,FIRST,204,C-4,BOYS HOSTEL BLOCK - 1
29,2505143,FIRST,204,C-5,BOYS HOSTEL BLOCK - 1
30,2505201,FIRST,204,C-6,BOYS HOSTEL BLOCK - 1
31,2505060,FIRST,204,C-7,BOYS HOSTEL BLOCK - 1
32,2501609,FIRST,204,C-8,BOYS HOSTEL BLOCK - 1
33,2505181,FIRST,205,C-1,BOYS HOSTEL BLOCK - 1
34,2500758,FIRST,205,C-2,BOYS HOSTEL BLOCK - 1
35,2503539,FIRST,205,C-3,BOYS HOSTEL BLOCK - 1
36,2504379,FIRST,205,C-4,BOYS HOSTEL BLOCK - 1
37,2504550,FIRST,205,C-5,BOYS HOSTEL BLOCK - 1
38,2505448,FIRST,NB1,C-1,BOYS HOSTEL BLOCK - 3
39,2502931,FIRST,NB1,C-2,BOYS HOSTEL BLOCK - 3
40,2505242,FIRST,NB1,C-3,BOYS HOSTEL BLOCK - 3
41,2505510,FIRST,NB1,C-4,BOYS HOSTEL BLOCK - 3
42,2504224,FIRST,NB1,C-5,BOYS HOSTEL BLOCK - 3
43,2504236,FIRST,NB1,C-6,BOYS HOSTEL BLOCK - 3
44,2504669,FIRST,NB1,C-7,BOYS HOSTEL BLOCK - 3
45,2501644,FIRST,NB1,C-8,BOYS HOSTEL BLOCK - 3
46,2501701,FIRST,NB1,C-9,BOYS HOSTEL BLOCK - 3
47,2501699,FIRST,NB1,C-10,BOYS HOSTEL BLOCK - 3
48,2504366,FIRST,NB1,C-11,BOYS HOSTEL BLOCK - 3
49,2503516,FIRST,NB2,C-1,BOYS HOSTEL BLOCK - 3
50,2503921,FIRST,NB2,C-2,BOYS HOSTEL BLOCK - 3
51,2502436,FIRST,NB2,C-3,BOYS HOSTEL BLOCK - 3
52,2502150,FIRST,NB2,C-4,BOYS HOSTEL BLOCK - 3
53,2501649,FIRST,NB2,C-5,BOYS HOSTEL BLOCK - 3
54,2505484,FIRST,NB2,C-6,BOYS HOSTEL BLOCK - 3
55,2501696,FIRST,NB2,C-7,BOYS HOSTEL BLOCK - 3
56,2501626,FIRST,NB2,C-8,BOYS HOSTEL BLOCK - 3
57,2502103,FIRST,NB2,C-9,BOYS HOSTEL BLOCK - 3
58,2504830,FIRST,NB2,C-10,BOYS HOSTEL BLOCK - 3
59,2505530,FIRST,NB2,C-11,BOYS HOSTEL BLOCK - 3
60,2503320,FIRST,NB2,C-12,BOYS HOSTEL BLOCK - 3
61,2501027,FIRST,NB2,C-13,BOYS HOSTEL BLOCK - 3
62,2502171,FIRST,NB2,C-14,BOYS HOSTEL BLOCK - 3
63,2505449,FIRST,NB2,C-15,BOYS HOSTEL BLOCK - 3
64,2501640,FIRST,NB2,C-16,BOYS HOSTEL BLOCK - 3
65,2505784,FIRST,NB2,C-17,BOYS HOSTEL BLOCK - 3
66,2502466,FIRST,NB2,C-18,BOYS HOSTEL BLOCK - 3
67,2501126,FIRST,NB3,C-1,BOYS HOSTEL BLOCK - 3
68,2502156,FIRST,NB3,C-2,BOYS HOSTEL BLOCK - 3
69,2502681,FIRST,NB3,C-3,BOYS HOSTEL BLOCK - 3
70,2505283,FIRST,NB3,C-4,BOYS HOSTEL BLOCK - 3
71,2500671,FIRST,NB3,C-5,BOYS HOSTEL BLOCK - 3
72,2501122,FIRST,NB3,C-6,BOYS HOSTEL BLOCK - 3
73,2502164,FIRST,NB3,C-7,BOYS HOSTEL BLOCK - 3
74,2505036,FIRST,NB3,C-8,BOYS HOSTEL BLOCK - 3
75,2502434,FIRST,NB3,C-9,BOYS HOSTEL BLOCK - 3
76,2501660,FIRST,NB3,C-10,BOYS HOSTEL BLOCK - 3
77,2503393,FIRST,NB3,C-11,BOYS HOSTEL BLOCK - 3
78,2504370,FIRST,NB3,C-12,BOYS HOSTEL BLOCK - 3
79,2501120,FIRST,NB3,C-13,BOYS HOSTEL BLOCK - 3
